"V1","V2","V3","V4","V5"
"-9",1.05035961205868,1.45344729408928,0.782357422934415,0.0347935444847778
"-6",0.876630186347185,0.692371973039636,0.453842792763467,0.035966394592487
"-8",0.936474328365711,0.700042933585759,0.70895866095691,0.0433090645651729
"-9",0.97868613765118,0.701433794171354,0.902561124600453,0.0434782818709262
"-9",1.00791198522992,1.43428131764004,0.964140054049433,0.0376177124962435
"-7",1.06862646357211,1.41738722603645,0.704817917733577,0.0412195538655512
"-6",1.14746229926254,1.42483398227405,0.434266482043381,0.0439151296510005
"-6",0.935574265855591,0.708225210519281,0.705738960211272,0.0421485485757916
"-3",1.32025181284137,1.46547287260226,0.117576902452837,0.0327409354486512
"-3",1.26307447705312,1.44070276368166,0.183328058321264,0.0332547508862137
"-5",0.885848580478743,0.69799652977811,0.492770139536697,0.0343282673288895
"-5",0.864142236688965,0.690810371060796,0.409388801479863,0.0332921601681695
"-4",1.21277035897359,1.45224867514862,0.273052340075028,0.0291582273510401
"-5",1.22949828267903,1.4538176734252,0.248350205727775,0.0382305229125754
"-8",1.07814576463693,1.44252742502827,0.669317624094528,0.0378381945470437
"-7",1.06947937990818,1.42472779133223,0.701989426781396,0.0414297771993729
"-3",1.29177870605984,1.42848035283264,0.154648848044676,0.0493853455284903
"-9",0.97862481529675,0.701559233241453,0.901803945550892,0.0420890581651143
"-8",0.936772502013782,0.698956344453559,0.710253188240314,0.0413092378947785
"-7",0.92543462433855,0.701571591616831,0.65858563970747,0.041757768419892
"-7",1.14344527123538,1.4453525296448,0.451069031513432,0.0398515554461729
"-6",1.13827483780627,1.41747115350171,0.461630506726756,0.0486121987451085
"-7",1.07821729726219,1.43907259357387,0.66885601992941,0.0333902917987217
"-6",1.11506647230649,1.43283627932938,0.535468132368134,0.0383671588965275
"-4",0.822386607780407,0.705232262839056,0.266672861503929,0.0483421814300999
"-5",1.16430370201976,1.4338682495889,0.38849607631434,0.0393697510815547
"-9",1.0477468768157,1.4471762022829,0.791196054595734,0.0356292321981916
"-6",1.05071457538742,1.41436010139017,0.782533833432164,0.0415072967441097
"-8",1.06405227072586,1.42968909755106,0.723664433279967,0.0412837944737697
"-7",1.05080556012398,1.43371072787583,0.778456890937954,0.0337820097887718
"-9",1.03952974891534,1.44387101828017,0.825012017214763,0.0356435371165432
"-6",1.0471415095597,1.39598732950256,0.795245015072786,0.0498761312925944
"-8",1.01704824440591,1.40835046232527,0.923179831822563,0.045475631162838
"-2",1.32368935989335,1.4271426672186,0.112051750067727,0.0451293312124864
"-9",1.05422261782438,1.45195489032863,0.764317078884347,0.0340961128807821
"-6",1.10848614617991,1.41138390076005,0.556508387060987,0.0441551272171943
"-9",1.02026672307209,1.43100054822923,0.90881947148664,0.0394047594176339
"-3",1.30502740830069,1.45721281592389,0.130899144518793,0.0338399568868359
"-5",1.22008212186094,1.45494118267712,0.259602670844609,0.0346829910071178
"-6",1.16922309656717,1.43383574231365,0.382583879257632,0.046108508837681
"-6",1.07893716509627,1.40819992509265,0.665154093610108,0.0442246616562246
