"V1","V2","V3","V4","V5","V6"
62,1.92175360604989,2.57379307428759,0.000375848351530705,0.0612623530013915,0
NA,1.50374470236912,15.9937481672382,0.0210214069647755,0.000798829079428631,0
30,1.54146282378615,1.50517271521073,0.015670021849398,0.052215904988996,0
56,2.44082114159929,1.90655424808633,3.92101605206641e-06,0.0628473248439565,0
5,1.47333743962457,1.40737342486112,0.0269349767929248,0.0558567222118986,0
31,1.76293779851614,1.49278601764028,0.00139712536874759,0.0611087915159781,0
26,1.78990969860868,1.50028527964512,0.00154321872406982,0.051454744133708,0
25,1.65670824917797,1.4973331375048,0.00636561596018825,0.0516406942724864,0
41,1.58383054380137,1.59195655933525,0.00991861725174115,0.0516922763858323,0
58,1.60550066607112,2.00544820422106,0.00885687430576454,0.0644351073033607,0
59,1.4852640603908,1.99798333389661,0.0275702745398847,0.0855990230029375,0
55,2.15110841358927,1.8893121293006,4.53078766802228e-05,0.0570164701999873,0
45,1.51718804454683,1.64010064715605,0.021266391757026,0.0527146099542279,0
NA,1.29441620583992,0.35070022665593,0.142482727399273,0.280549028874033,0
49,1.77546111974985,1.70653641827264,0.00133038407449415,0.0522963563232745,0
3,1.45259402350223,1.4166752984272,0.0344116554332852,0.0510382713910691,0
62,1.9901590559808,2.31370822874524,0.000105914924444006,0.10212576416978,0
NA,1.39097357357513,1.50590435242057,0.0613604705111119,0.684943180323687,0
NA,1.93314104122597,10.4909235409767,0.000367005743919901,0.00667424658713989,0
26,1.6985558044401,1.47611789912809,0.00353865829539179,0.0598084163071431,0
23,1.64487222850635,1.46305512111668,0.0050926021222345,0.0555526842106573,0
29,1.62321780409631,1.47820939585854,0.00657163401374194,0.062806879960043,0
49,1.95794407114033,1.69870087260214,0.000293372812209647,0.0563898971063344,0
53,1.96777807991643,1.82090620756388,0.000191049299011148,0.0516137979582094,0
NA,1.36635004710017,1.11683689360236,0.0784760600826249,0.913146973752798,0
4,1.47309580116559,1.41739051750949,0.0279255996238551,0.0513414339946272,0
42,1.66400054421123,1.57653604675296,0.00473101515800034,0.0636625399797984,0
64,2.08763413205392,3.16381628855534,9.48675246281727e-05,0.0980045801375062,0
21,1.4618025326492,1.45331889361528,0.0309176723436057,0.0551782524908024,0
46,2.37810343977255,1.65256641392127,2.27026848120815e-06,0.0528739251109105,0
1,1.42984532304487,1.41929944182149,0.0468503166482728,0.0524128370451382,0
NA,1.31623573004516,4.5573480746429,0.118015794824229,0.108385618285463,0
61,1.96793907684566,2.43420933142956,0.000137716542573663,0.050804075603522,0
54,2.30362841206067,1.84643137684129,7.01651942869308e-06,0.0551877380005219,0
