"V1","V2","V3","V4","V5","V6"
-64,1.05035961205868,4.32769555715185,0.782357422934415,0.0299264222394328,0
NA,0.874195381429918,1.7138220590458,0.445770936845205,0.589943615747831,0
NA,0.858708053819273,0.933297911732418,0.384522183561004,0.94567924453313,0
NA,0.793817463766119,1.42236966273334,0.200686848511263,0.726319883137065,0
-25,0.791486986179878,0.672846752540528,0.181681902673251,0.0480663918589574,0
-2,1.37951869614656,1.42276034679498,0.0695870436123012,0.0484522384899067,0
-63,1.27452421150256,4.17351986365961,0.167004598423896,0.0127060962261293,0
NA,0.877306277269347,0.895385893614686,0.455314245383667,0.913146973752819,0
-26,0.730926500879508,0.64280044704062,0.076183492233151,0.0303219171205592,0
NA,1.30476062029623,1.80975209477436,0.128958122235857,0.554397773961126,0
NA,0.994563824352527,1.0565474336533,0.975498721835463,0.956677344176616,0
NA,0.925781541863787,4.45931096428392,0.660315771518669,0.116572505409973,0
-6,0.722075869576173,0.686238300564673,0.064507737755354,0.0371584512357317,0
NA,1.03033179140747,3.35618373963004,0.865582707496002,0.211439061734519,0
NA,0.86893024016073,0.405709243308051,0.427525010345004,0.361651456450907,0
NA,1.20236531621345,0.835257023951413,0.297774622161117,0.858653899539605,0
-58,0.991323876473476,0.447249916390343,0.960483139491981,0.0319073993428042,0
NA,0.942515324950349,3.16138238082141,0.737428807590744,0.232764004322837,0
NA,1.11975155162466,0.946479039319821,0.523873047523893,0.95667734417664,0
-17,0.761362534069439,0.659406887247964,0.123417077048909,0.0319795361443701,0
NA,1.19357098237684,0.90804201104842,0.317428557607036,0.924068866738947,0
NA,0.933625389081716,1.24892711487055,0.69534095237376,0.825801923143175,0
-64,1.09324684987725,10.7142855887807,0.612147958887707,0.00013935517555097,0
-49,1.25328373395956,1.79750750464454,0.211170403831614,0.0355289128154264,0
NA,1.18334021248841,1.72625924194266,0.346991284253228,0.586988303047631,0
-61,0.920979182732985,0.347213119868854,0.641617339450846,0.022029616184649,0
NA,1.05416104808327,0.469942091702167,0.765118937508733,0.445080725716858,0
NA,0.809797426752329,1.48762233670349,0.228314708949771,0.692726954228615,0
-24,0.987981720653728,0.654951571481158,0.945452846102868,0.0351845209008678,0
-45,0.974976911437261,0.599774076002224,0.884986839871525,0.0477441563030623,0
NA,0.976855858031102,0.579287267927757,0.894818165397669,0.586988303047646,0
NA,1.012214154061,3.1387682330668,0.94512294637125,0.240101878391327,0
NA,1.18934691548216,2.46481936631824,0.326310241011536,0.361651456450898,0
-65,0.910966229813507,0.0152676204138115,0.594569505232542,1.74828038712604e-08,0
NA,1.08846515620112,0.800687236343367,0.630735209137825,0.825801923143196,0
-5,0.76127061422808,0.692860158432663,0.130416274137626,0.046720577244632,0
-28,0.813775471134111,0.662975283820184,0.240466262538602,0.0484210474881588,0
-60,1.0075532777373,2.59386669198709,0.965721962865184,0.0249148026152033,0
-52,1.24128268348053,1.88637478297679,0.221126317407703,0.0326127259863096,0
-64,0.984099559213339,0.0996005125462065,0.927553638817057,0.00025482102883323,0
-62,1.0506105329266,3.16965831380276,0.780844421616269,0.0221270259673629,0
-37,1.15825373507514,1.5733142064851,0.402207757321378,0.0454803785193195,0
NA,0.974338300372624,0.972710245022453,0.882354071083382,0.97821140441047,0
NA,1.28467042993088,1.32151950598444,0.155462630885522,0.782868988833952,0
27,1.6642494825298,1.50121306824329,0.00448071711082787,0.0506284773712997,0
-46,0.854168025890966,0.442994609988297,0.369801733950304,0.00155951035621238,0
NA,1.24538484232789,0.382323295737864,0.213292186144552,0.324811536354758,0
-65,0.813660306896692,2.93748211171005e-30,0.248547108329502,4.44089209850063e-16,0
NA,1.06804550408199,2.94402157140086,0.707893869415482,0.269581230076753,0
-60,0.747908209461528,0.380821379111363,0.097324578187215,0.0228310516643652,0
-9,1.2862552525303,1.48696520463561,0.150507271821843,0.0316461547292604,0
-64,0.895341978576458,0.22197191161489,0.528428946298157,0.0256303419438589,0
NA,0.950561375848513,1.0565474336533,0.773628385475492,0.956677344176616,0
-37,1.0927378231877,1.62687785195755,0.612319961827668,0.0329119721113494,0
NA,1.02204543094415,0.90804201104842,0.902356077513826,0.924068866738947,0
NA,1.05361980497404,1.8992111711265,0.766110053308226,0.521876443761724,0
-60,0.78065754525961,0.378422113734231,0.161179678723471,0.0202151882381217,0
NA,1.14631056447346,2.46481936631824,0.443387570517873,0.361651456450898,0
-61,1.11934795742565,5.4812598256989,0.521613160558007,0.000235885560390559,0
NA,0.975769477949842,1.01374687842093,0.88908944773784,0.989245294951315,0
-65,0.963376215461379,0.0152676204138115,0.831347752802209,1.74828038712604e-08,0
-35,1.16204843702452,1.61734073520494,0.394375863500907,0.0289397936484982,0
-50,1.072589089118,2.00921654094795,0.69013115567293,0.0132494679131078,0
-55,1.11021062253179,2.10278046146319,0.550953055747768,0.0243157993931891,0
NA,1.04903674385662,0.986439535634033,0.786785072484664,0.989245294951336,0
-13,1.33627357391652,1.44664466905105,0.0994154980821322,0.0482622265223352,0
-65,0.971125529943355,0.129231725647463,0.868565589976737,0.0224009383282787,0
1,1.42171195120274,1.40525546038025,0.0445436790918405,0.0530174483488534,0
-24,0.786245287424787,0.661277402163011,0.175508944576233,0.0404097741772012,0
NA,0.916888206101939,0.552561869046865,0.623012069006555,0.554397773961139,0
-29,0.927122127100613,0.664601374015903,0.667775045470195,0.0472275899830831,0
-59,0.927160165575607,0.356080292262297,0.668835874960849,0.00821144408414365,0
-60,0.848025013006875,0.317001999015508,0.346874463575483,0.00563038888495893,0
-10,1.38969140268641,1.55619150348704,0.0633649463153186,0.0186154707658496,0
NA,0.899624285366841,0.664052798833213,0.546551755962449,0.684943180323709,0
NA,1.19209370743588,2.46481936631824,0.320325935289913,0.361651456450898,0
-30,1.19882752606899,1.5794158366668,0.301211555522905,0.0290728835964337,0
NA,1.07503531210294,2.76853660306568,0.681402671932549,0.299741591669608,0
-58,0.797957152615522,0.468426880036584,0.199365762761892,0.041296674696236,0
NA,1.12065690556064,0.672213622589157,0.521212814148135,0.692726954228638,0
-7,1.3935182428682,1.45072119620321,0.0600669395944052,0.0411876854912174,0
-43,0.861196844673925,0.550741413884015,0.39574318727487,0.0163992482592374,0
NA,1.00518247779581,0.441411417935495,0.976488609776912,0.406547358542868,0
NA,0.953559601912152,1.55745775713269,0.786214941777845,0.658840797359354,0
